Idiom,Meaning,Examples,Type,,,,
a broken reed,"an unreliable or undependable personOn the image of a useless, broken reed in a reed instrument",,General,,,,
browbeat someone into something, to bully or intimidate someone into something.,It won’t do any good to try to browbeat me into it.  I was browbeaten into doing it once. I refuse to do it again.,Figurative,,,,
brown as a berry,very brown from the sun,She was out in the sun so much that she became as brown as a berry.,General,,,,
brown out,"for the electricity to diminish in power and dim the lights, causing a brownoutSomething less than a blackout, when there is no power.","The power kept browning out.  The lights started to brown out, and I thought maybe there was a power shortage.",General,,,,
brown someone off†, to make someone angry.,You really brown me off!,General,,,,
browned off, angry,The boss really got browned—to say the least; he fired me!,General,,,,
browse among something," for an animal to wander about among plants and trees, selecting and eating some",The cows were browsing among the grasses in the field. 2. for someone to look at or survey different items of reading material.  I browsed among the books on the rack until I found what I wanted.  I browsed among the books for something suitable.,General,,,,
browse on something,for an animal to feed on some kind of plant material,The rabbit browsed on my carrots.,General,,,,
bruit something about,to spread a rumor around,"You really shouldn’t bruit that incident about, you know.  The story was bruited about all over the office.",General,,,,
brush over someone or something, to deal lightly with an important person or matter,I want to hear more. You only brushed over the part I was interested in.  You only brushed over the bit about your girlfriend. Tell us more about her.,Figurative,,,,
brush someone off†," to remove something, such as dust or lint, from someone by brushing.","The bathroom attendant brushed Mr. Harris off and was rewarded with a small tip. _The porter had never brushed off such a miserly man before. 2. Fig. to reject someone; to dismiss someone. As if someone were mere lint.  He brushed her off, telling her she had no appointment.  He brushed off Mrs. Franklin, who was only trying to be nice to him.",Literal,,,,
brush someone or something aside†, to push or shove someone or something out of the way.,"Don’t just brush me aside. I almost fell over.  I brushed aside the branch, not realizing it was poison ivy. 2. Fig. to cast someone or something away; to rid oneself of someone or something; to ignore or dismiss someone or something.  You must not brush this matter aside.  The clerk brushed aside the old man and moved on to the next person in line.",Literal,,,,
brush something away† from something,to remove something from something by brushing,He brushed a bit of lint away from Tom’s collar. _She brushed away the crumbs from the table.,General,,,,
brush something down†,to clean and groom fur or fabric by brushing.,"Why don’t you brush your coat down It’s very linty.  I brushed down my trousers, and they looked much better.",General,,,,
brush something up†,to improve one’s knowledge of something or one’s ability to do something.,I need to brush my French up a little bit.  I need to brush up my French.,General,,,,
brush up against someone or something,to touch someone or something lightly in passing,I guess I brushed against Walter as I walked by.,General,,,,
brush up on something,to improve one’s knowledge of something or one’s ability to do something.,I need to brush up on my German. _My German is weak. I had better brush up.,General,,,,
a brush with death, an instance of nearly dying.,"After a brush with death, Claire seemed more friendly and outgoing.",Figurative,,,,
the brush-off, rejection,"Don’t talk to Tom. He’ll just give you the brush-off.  I went up to her and asked for a date, but I got the brush-off.",Figurative,,,,
bubble over, for boiling or effervescent liquid to spill or splatter over the edge of its container.,"The pot bubbled over and put out the f lame on the stove. _The stew bubbled over. 2. Fig. for someone to be so happy and merry that the joy “spills over” onto other people.  She was just bubbling over, she was so happy.  Lily bubbled over with joy.",Literal,,,,
bubble up through something,"for a liquid to seep up or well up through something, such as from between rocks, through a crack in the floor, or through a hole in the bottom of a boat.",The water bubbled up through a crack in the basement f loor.,General,,,,
buck for something," to work ambitiously for something, such as a promotion.","I’m just bucking for recognition and, of course, a 20 percent raise.  You can tell by her attention to the boss that she’s bucking for promotion.",General,,,,
buck someone off†,for a horse or similar animal to rear up in an attempt to shake off its rider.,"The horse tried to buck Sharon off, but she held on tight.  The horse bucked off its rider.",General,,,,
The buck stops here.,"The need to act or take responsibility, that other people pass on to still other people, ulti- mately ends up hereAn expression made famous by U.SPresident Harry Truman, about the finality of decisions a president must makeSee also pass the buck.","After everyone else has avoided making the decision, I will have to do it. The buck stops here.",General,,,,
buck up,to cheer up,She began to buck up when I showed her the results of the tests.,General,,,,
buckle down to something,to settle down to something,"If you don’t buckle down to your job, you’ll be fired.  You had better buckle down and get busy.",General,,,,
buckle someone in†,to attach someone securely with a vehicle’s seat beltsThis includes airplane seat belts.,Don’t forget to buckle the children in.  Did you buckle in the children,General,,,,
buckle someone or something down†,to attach someone or something down with straps that buckle together.,They stopped to buckle the load down again.  Did you buckle down the kids,General,,,,
buckle someone or something up†,to attach someone or something securely with straps that buckle togetherThis emphasizes the completeness and secureness of the act,,General,,,,
buckle under, for something to collapse,"The table buckled under. 2. Fig. for someone to collapse or give in under the burden of heavy demands or great anxiety.  With so much to worry about, she buckled under.  I was afraid she would buckle under.",Literal,,,,
buckle under something,to collapse under or from the weight of something.,The bridge buckled under the weight of the truck and collapsed. _The table finally buckled under.,General,,,,
bud out,for a flowering plant or tree to develop buds.,How early in the spring do the trees bud out around here  The trees bud out in early spring.,General,,,,
a budding genius,a very bright and promising young person,,General,,,,
buddy up to someone,to become overly familiar or friendly with someone,"He always tries to buddy up, no matter how coldly you treat him.",General,,,,
buddy up with someone,to join with another person to form a pair that will do something together or share something.,"I buddied up with Carl, and we helped each other on the hike.  Carl and I buddied up, and we shared a canoe.",General,,,,
budget something for someone or something,to set aside a certain amount of money for someone or something.,Did you budget some money for the holiday party _I budgeted a few hundred a month for Andrew’s college expenses.,General,,,,
buff something down†,to polish or smooth something by buffing.,I buffed the newly waxed table down with a cloth.  I’m going to go out and buff down the car.,General,,,,
buff something up†,to polish something to a shine.,He buffed his shoes up and went out for the evening.  He buffed up the antique silver platter.,General,,,,
buffet someone or something from someone or something to someone or something," to shift someone or something back and forth between people, things, or places, as if being tossed around by the waves of the sea.",The state agency buffeted the orphan child from one relative to another. _The office staff buffeted the memo from one desk to another.,Figurative,,,,
bug off,  to cease bothering someone.,"Hey, bug off! Your comments are annoying.  I wish you would bug off! 2. Sl. Get out!; Go away! Usually Bug off!  Bug off! Get out of my sight!  Bug off and leave me alone!",General,,,,
bug out,  to pack up and leave or retreat,"Okay, everybody, move it! We’re bugging out. 2. Sl. to get out of somewhere fast.  I gotta find a way to bug out of here without getting caught.  Okay, the downpour has stopped. Let’s bug out.",General,,,,
bug someone,to irritate someone,Leave me alone. Go bug someone else.,General,,,,
build a better mousetrap,"to develop or invent something superior to a device that is widely usedFrom the old saying, “If you build a better mousetrap, the world will beat a path to your door.” ",,General,,,,
build down,for traffic to reduce in volume or diminish.,"At about six, the going-home traffic begins to build down.  When traffic builds down, I leave for home.",General,,,,
build one’s hopes on someone or something,to make plans or have aspirations based on someone or something.,I have built my hopes on making a success of this business.  I built my hopes on John’s presidency.,General,,,,
build out onto something,to extend a building onto a particular space,We built out onto the area over the old patio.,General,,,,
build someone or something up†, to make someone or something bigger or stronger.,"Tom is lifting weights to build himself up for basketball.  Tom needs to build up his upper body. 2. Fig. to advertise, praise, or promote someone or something. _Theatrical agents work very hard to build up their clients.  Advertising can build a product up so much that everyone will want it.",Literal,,,,
build someone or something up† from something,to transform someone or something from a lowly start to a higher state.,I built up this business from nothing.  The publicity agent built this politician up from a cheap party hack.,General,,,,
build someone or something up† into someone or something,to develop or advance someone or something into a particular desirable kind of person or thing.,The publicity people built her up into a singer whom everyone looked forward to hearing.  The agent built up the local band into a top national act.,General,,,,
build someone up† for something, to prepare someone for something,We built them up for the challenge they were to face.  We had to build up the woman before breaking the bad news.,Figurative,,,,
build something out of something,to construct something from parts or materials.,She built a tower out of the blocks.  They will build the bridge out of reinforced concrete.,General,,,,
build something to order,to build an individual object according to a special set of specifications,,General,,,,
build something up†, to add buildings to an area of land or a neighborhood.,"They are really building this area up. There is no more open space.  They built up the area over the years. 2. Fig. to develop, accumulate, or increase something, such as wealth, business, goodwill, etc. _I built this business up through hard work and hope.  She built up a good business over the years. 3. Fig. to praise or exalt something; to exaggerate the virtues of something.  The master of ceremonies built the act up so much that everyone was disappointed when they saw it.  He built up the act too much.",Literal,,,,
build something upon something, to construct something on the base of something elseUpon is formal and less commonly used than on.,The ancients built their houses upon the houses of earlier people. 2. Fig. to add to and develop something that already exists. _We have a good reputation and we must build on it.  He has to build on his strong friendships with the customers.,Literal,,,,
build up,to increase,The storm clouds are building up. Better close the windows.,General,,,,
build up to something, for a person to lead up to something or advance to doing or saying something.,I can tell you are building up to something. What is it 2. for a situation to develop into something.  The argument is building up to something unpleasant.,General,,,,
build upon something, to construct something on a particular spaceUpon is more formal and less commonly used than on.,"Are you going to build upon this land  Yes, we will build on it. 2. to start with something and add to it. Upon is more formal and less commonly used than on.  Our progress has been good so far. Let’s build on it.  We will build upon the success of our forebears.",General,,,,
bulge out,to swell outward,"The puppy’s tummy bulged out, full of food.  The bag of grass clippings bulged out heavily.",General,,,,
bulge with something,to be swollen with something,The chipmunk’s cheeks bulged with the nuts it had found.,General,,,,
a bull in a china shop, a very clumsy creature in a delicate situationTypically: as awkward as ~,"I never know what to say at a funeral. I feel like a bull in a china shop, trampling on feelings without even meaning to.  Lester felt like a bull in a china shop; reaching for an orange, he made several elaborate pyramids of fruit tumble down.",General,,,,
bulldoze into something, to move clumsily into something.,"Don’t just bulldoze into me! Watch where you are going!  Todd bulldozed into the wall, denting it badly.",Figurative,,,,
bulldoze through something, to push clumsily and carelessly through something.,Don’t just bulldoze through your work! _I wish you wouldn’t bulldoze through the room.,Figurative,,,,
Bully for you!," an expression that praises someone or someone’s courageDated, but still heard.","The audi- ence shouted, “Bravo! Bully for you!”  Bob: I quit my job today. Sally: Bully for you! Now what are you going to do Bob: Well, I need a little loan to tide me over. 2. a sarcastic phrase belittling someone’s statement or accomplishment. _Bob: I managed to save three dollars last week. Bill: Well, bully for you!  Mary: I won a certificate good for a free meal! Sally: Bully for you!",General,,,,
A bully is always a coward.," Bullies will only intimidate people who are much weaker than they are, because they are afraid of losing a fight.","Child: Dad, Joey keeps picking on me. How can I make him stop Father: Try fighting back. A bully is always a coward.  Bill took advantage of the younger children, but he was quiet and docile around the older ones. A bully is always a coward.",General,,,,
bully someone into something,to harass or threaten someone into doing something,Don’t try to bully me into your way of doing things.,General,,,,
bum around with someone,to spend or waste a lot of time with a particular person.,He used to bum around with Ted a lot.  They bummed around together all summer.,General,,,,
bum out, to have a bad experienceOriginally referred to a bad experience with drugs.,"Are you going to bum out again tonight  Man, is he bummed out!",General,,,,
the bum’s rush,hurrying someone out of a placeAs someone might quickly escort a vagrant from a fancy restaurantTypically: get ~,The young customer in the jewelry store was getting the bum’s rush until he pulled out an enormous roll of bills. _Bill got the bum’s rush at the restaurant because he didn’t have a tie on.,General,,,,
bum someone out†, to disappoint someone.,This menial job really bums me out.  The bad movie bummed out the entire audience.,General,,,,
bum something off someone, to beg or borrow something from someone.,Can I bum a cigarette off you  You can’t bum anything off me that I don’t have.,General,,,,
a bum steer,misleading instructions or guidance,"I got a bum steer from the salesman, and I paid far more than I needed to for a used car.",General,, give someone ~. ,,
bumble through something,to get through something clumsily,Lily bumbled through her song and f led from the stage.,General,,,,
bummed out, discouraged,"I feel so bummed. I think I need a nice hot bath. _When you’re feeling bummed out, think how much you’ve accomplished.",General,,,,
bump someone or something up†, to damage or batter someone or something.,"The crash into the wall bumped the race driver up a little.  The accident bumped up the passengers a little. 2. Fig. to raise someone or something to a higher category or level. As if pushing someone into a higher category.  I wanted to f ly first class, but they wouldn’t bump me up. _The ticket agent bumped up both of my friends, but not me.",Literal,,,,
Bump that!, Forget that!,Bump that! I was wrong.  I gave you the wrong number. Bump that!,General,,,,
bump up against someone or something,"to strike someone or something accidentally, usually relatively gently.",The car bumped up against the curb.  The door has bumped against the wall and scratched the paint.,General,,,,
bumper to bumper,of traffic close together and moving slowly,,General,,,,
a bunch of fives, a punch from a closed fist.,How would you like a bunch of fives right in the kisser  He ended up with a bunch of fives in the gut.,General,,,,
bunch someone or something up†,to pack or cluster things or people together.,Bunch them up so you can squeeze them into the sack.  Kelly bunched up the roses and put them in a vase.,General,,,,
bunch up,to pack together or cluster.,Spread out. Don’t bunch up!,General,,,,
a bundle of nerves,a very nervous person,,General,,,,
bundle off,to leave in a hurry,"She got ready and bundled off after her bus.  Her arms full, Lily bundled off in a rush.",General,,,,
bundle oneself up against something,to wrap oneself up in protective clothing or bedding as protection against the cold.,Please bundle yourself up against the frigid wind.  Bundle up before you go outside.,General,,,,
bundle someone off† to some place," to send someone, usually a child, somewhere.",Robert bundled the children off to school. _They bundled off the kids and were able to relax.,Figurative,,,,
bundle someone up† against something,to wrap someone up in protective clothing or bedding against the cold.,Wally bundled Billy up against the winter storm.  You had better bundle up the children against the bitter wind.,General,,,,
bundle someone up† in something,to wrap someone up in protective clothing or bedding.,Bill bundled Billy up in his parka.  Bill bundled up Mary in her parka.,General,,,,
bundle something off† to someone or some place,to send something off in a bundle to someone.,"He bundled his laundry off to his mother, who would wash it for him.  Mary bundled off the package to her brother.",General,,,,
bung something in†,to cram or bang something into something,,General,,,,
bung something up†,to damage someone or something by blows,"Last time I put up the storm windows, I really bunged up my hands.",General,,,,
bunged up,battered or bruised,,General,,,,
bungle something up†,to botch something,Please don’t bungle this job up.  Tom was careless and he bungled up the job.,General,,,,
bunk down for the night,to bed down for the night,Where are you going to bunk down for the night  I’m tired and ready to bunk down.,General,,,,
bunk up together,"for two or more people to share a bed, a bedroom, or a tent",,General,,,,
bunk up with someone,"to share a bed, a bedroom, or a tent with someone",I’ll bunk with Todd.,General,,,,
buoy someone or something up†,to keep someone or something afloat,The air trapped in the hull buoyed the boat up.,General,,,,
buoy someone up†," to support, encourage, or sustain someone.",The good news buoyed her up considerably.  Her good humor buoyed up the entire party.,Figurative,,,,
burden someone or something with someone or something,to bother or weigh down someone or something with someone or something.,Please don’t burden us with the bad news at this time.  I don’t want to burden the school with a troublesome child.,General,,,,
burden someone with something,to give unpleasant information to someone,"I hate to burden you with this, but your cat ran away.  I wish I had not been burdened with all the facts.",General,,,,
burgeon out,to develop and grow rapidly,"The flowers burgeoned out and made the garden beautiful again.  When the trees have burgeoned out, spring is really here.",General,,,,
burn something to a crisp,to burn something totally or very badly.,The cook burned the meat to a crisp.,General,,,,
burn away, for something to burn until there is no more of it.,"All the oil burned away.  The logs burned away and the fireplace was cooling down. 2. for something to keep on burning. _The little fire burned away brightly, warming the tiny room.  The candle burned away, giving a tiny bit of light to the huge room.",General,,,,
burn down, for a building to be destroyed by fire.,"The barn burned down. _There was a fire, and the old factory was burned down. 2. for a fire to burn and dwindle away. _The flame burned down and then went out.  As the fire burned down, it began to get cold.",General,,,,
burn for someone or something,to desire someone or something very much.,Jim said he was burning for Sally.  I was just burning for another look at her.,General,,,,
burn itself  out, for a flame or fire to run out of fuel and go out.,"Finally, the fires burned themselves out.  The fire finally burned out. 2. for an electrical or mechanical part to fail and cease working.  The motor finally burned itself out.  The light bulb burned out.",General,,,,
Burn not your house to fright the mouse away., Do not do something drastic when it is not necessary.,"Ellen: I don’t like the shape of my nose; I think I’ll have surgery to make it look better. Jane: But you can make your nose look better just by using different makeup. Don’t burn your house to fright the mouse away.  When someone pointed out a small f law in Bob’s latest painting, Bob wanted to tear the whole painting to shreds. “Now, now, Bob,” his friends said, “burn not your house to fright the mouse away.”",General,,,,
burn off,for some excess volatile or flammable substance to burn away or burn up.,"A film of oil on the surface of the water was burning off, making dense black smoke.  The alcohol burned off and left a delicious f lavor in the cherries jubilee.",General,,,,
burn one’s bridges behind one," to cut off the way back to where you came from, making it impossible to retreat","By blowing up the road, the spies had burned their bridges behind them. 2. Fig. to act unpleasantly in a situation that you are leaving, ensuring that you’ll never be welcome to return.  If you get mad and quit your job, you’ll be burning your bridges behind you.  No sense burning your bridges. Be polite and leave quietly. 3. Fig. to make decisions that cannot be changed in the future. _If you drop out of school now, you’ll be burning your bridges behind you.  You’re too young to burn your bridges that way.",Literal,,,,
burn one’s bridges in front of one, to create future problems for oneselfA play on burn one’s bridges behind one.,I made a mistake again. I always seem to burn my bridges in front of me. _I accidentally insulted a math teacher whom I will have to take a course from next semester. I am burning my bridges in front of me.,Figurative,,,,
burn oneself out, to do something so long and so intensely that one gets sick and tired of doing it.,I burned myself out as a competitive swimmer. I just cannot stand to practice anymore.  Tom burned himself out in that boring job.,Figurative,,,,
burn someone at the stake, to set fire to a person tied to a post as a form of execution,"Stop yelling. I made a simple mistake, and you’re burning me at the stake for it.  Sally only spilled her milk. There is no need to shout. Don’t burn her at the stake for it.",Literal,,,,
burn someone down†, to humiliate someone.,"Man, don’t you ever burn me down like that again!  You just want to burn down everybody to make yourself seem better.",General,,,,
burn someone in effigy,to burn a dummy or other figure that represents a hated person.,"For the third day in a row, they burned the king in effigy.  Until they have burned you in effigy, you can’t really be considered a famous leader.",General,,,,
burn someone out†, to wear someone out,The continuous problems burned out the office staff in a few months.,Figurative,,,,
burn someone up†, to destroy someone by fire.,The house fire burned the victims up.  The fire burned up both of them. 2. Fig. to make someone very angry; to make someone endure the “heat” of rage.  You really burn me up! I’m very angry at you!  The whole mess burned up everyone.,Literal,,,,
burn something away†,to remove or destroy something by burning.,The doctor burned the wart away.  The doctor burned away the wart.,General,,,,
burn something down†,for a fire to destroy a building completely,,General,,,,
burn something in†, to run a piece of new electronic equipment for a while to make certain that all the electrical parts will last a long time.,Please burn this computer in for a couple of hours before you deliver it.  The technician burned in the computer.,Figurative,,,,
burn something out†," to burn away the inside of something, getting rid of excess deposits.",The mechanic burned the carbon out of the manifold.  He burned out all of the carbon deposits. 2. to wear out an electrical or electronic device through overuse.  Turn it off. You’re going to burn the motor out!  He burned out the motor.,General,,,,
burn something up†,to destroy something by fire,The fire burned up the papers and left no trace.,General,,,,
burn the candle at both ends," to work very hard and stay up very late at nightOne end of the candle is work done in the daylight, and the other end is work done at night.",No wonder Mary is ill. She has been burning the candle at both ends for a long time.  You’ll wear out if you keep burning the candle at both ends.,Figurative,,,,
burn the midnight oil," to stay up working, especially studying, late at nightAlludes to working by the light of an oil lamp late in the night.","I have a big exam tomorrow so I’ll be burning the midnight oil tonight.  If you burn the midnight oil night after night, you’ll probably become ill.",Figurative,,,,
burn up,to become destroyed or consumed by fire,,General,,,,
burn with a low blue flame, of a properly adjusted gas burner to burn and put off heat.,"Each burner on the stove burns with a low blue flame giving the maximum amount of heat per BTU. 2. Fig. to be quietly and intensely angry.  She just sat there with her steak in her lap, burning with a low blue f lame.  She was quiet, but everyone knew she would soon burn with a low blue f lame. 3. Fig. to be heavily intoxicated with alcohol. Alludes to the irritability of a person who is very drunk. _Yeah, he’s burning with a low blue f lame. _He’s not just drunk, he’s burning with a low blue flame.",Literal,,,,
burn with something, for a fire to burn with a particular quality.,The building burned with great ferocity.  The fire burned with a lot of crackling and popping. 2. for someone to experience intense and consuming feelings of a particular quality.  Fred is just burning with anger.  Why is he burning with envy,General,,,,
burned to a cinder,burned very badlyVery often used figuratively.,"I stayed out in the sun too long, and I am burned to a cinder.  This toast is burnt to a cinder.",General,,,,
burned up, very angryFrom the heat of angerSee also burn someone up.,My new assistant’s mistakes are so maddening! I’ve never been so burned up in my life.  I’m really burned up at Bob’s behavior.,Figurative,,,,
A burnt child dreads the fire.," If something has hurt you once, you avoid it after that",,General,,,,
burst at the seams,"  to be very full and burst, perhaps at the seamsAlludes to something that would burst at the seams if overfilled.",I am so full from dinner! I’m ready to burst at the seams.  The room was so full it was bursting at the seams. 2. Fig. for someone to strain from holding in pride or laughter as if one might burst.  Tom nearly burst at the seams with pride. _We laughed so hard we just about burst at the seams.,Figurative,,,,
burst forth,to come forth explosively.,The words burst forth and frightened everyone.  The blossoms burst forth in the first warm days of the year.,General,,,,
burst in on someone or something,"to enter a room, interrupting someone or some activityOften without knocking or seeking permission to enter",I must ask you not to burst into my office again. Whatever it is can wait.,General,,,,
burst in upon someone or something, to intrude or come in thoughtlessly and suddenly and interrupt someone or somethingUpon is formal and less commonly used than on.,I didn’t mean to burst in on you.  She feared that someone would burst in upon her.,Figurative,,,,
burst in with something,to interrupt with some comment.,Ted burst in with the good news.  He burst in to tell us about his new car.,General,,,,
burst into flames,for something to catch fire and become a large fire quickly,The two cars burst into f lames soon after the collision.,General,,,,
burst into sight, to come into view suddenlyAs if the sight appeared as suddenly as an explosion.,"The sun finally burst into sight at the horizon.  Suddenly, a tiger burst into sight and caught the hunter off guard.",Figurative,,,,
burst into some place, to intrude or come in thoughtlessly and suddenly.,Ted burst into the room and sat down right in the middle of the meeting.  Wasn’t it very annoying of him to just burst in,Figurative,,,,
burst onto the scene, to appear suddenly in a location,,Figurative,,,,
burst out,to explode outward,"The door burst out and released the trapped people.  When the glass burst out, Gerald was cut by some splinters.",General,,,,
burst out doing something,"to begin to do something suddenly, such as cry, laugh, shout, etc",,General,,,,
burst out laughing,to begin to laugh suddenly.,"The entire audience burst out laughing when the clown took a fall. _Every time I think of you sitting there with a lap full of spaghetti, I burst out laughing.",General,,,,
burst out of some place,"to come out of a place very rapidly, like an explosion.","Everyone burst out of the burning building.  Suddenly, the windows all burst out.",General,,,,
burst out of something, to seem to explode out of something,She is practically bursting out of her dress.  The butterf ly burst out of the chrysalis.,Figurative,,,,
burst out with something, to utter something loudly and suddenlyCompare this with burst in with something.,The child burst out with a scream.  Lily burst out with song.,Figurative,,,,
burst someone’s bubble, to destroy someone’s illusion or delusion,"Even if you think I am being foolish, please don’t burst my bubble.",Figurative,,,,
burst through something,to break through or penetrate something with force.,The tank burst through the barrier easily.  The workers burst through the wall after a lot of hard work.,General,,,,
burst upon someone, for an idea to strike someone suddenlyAs if an idea had burst forthUpon is formal and less commonly used than on.,"After thinking all morning long, this really tremendous idea burst upon me.  It burst on me like a bolt of lightning.",Figurative,,,,
burst upon the scene,to appear suddenly somewhere,The police suddenly burst upon the scene.  They burst on the scene and took control.,General,,,,
burst with excitement, to have a strong feeling of excitement,The new toys had the children all bursting with excitement.,Figurative,,,,
burst with joy, for someone to be full to the bursting point with happinessTo be so filled with joy as if to burst,Bill was not exactly bursting with joy when he got the news.,Figurative,,,,
burst with pride,to be full as if to the bursting point with pride,I almost burst with pride when I was chosen for the first prize.,General,,,,
bury oneself in something,  to become very busy with something.,She stopped taking phone calls and buried herself in her work. _He tended to bury himself in his work. 2. Fig. to hide oneself some place. Alludes to burying oneself in a cave or something similar. _He buried himself in the back of the little shop and worked quietly.  The lizard buried itself in the sand.,Figurative,,,,
bury someone or something away some place,to bury or hide someone or something some place,The ex-dictator was buried away in an unmarked grave.,General,,,,
bury someone or something in something," to inter someone or something in a grave, the ground, a vault, a tomb, etc.",They buried the old man in the family vault.  Thousands of war veterans are buried in the national cemetery. 2. Fig. to hide or conceal someone or something from view in some place. _The office manager buried Tom at a small desk in the back room.  Someone buried the manual typewriter in a room full of old junk.,Literal,,,,
bury someone or something under something,"to bury someone or something beneath something, sometimes to hide or conceal it.",Joe buried the money under a stone in the forest.  They buried Aunt Mary under a pine tree.,General,,,,
bury the hatchet, to make peace.,Let’s stop arguing and bury the hatchet.  Tom and I buried the hatchet and we are good friends now.,Figurative,,,,
bush out,"for a plant, bush, beard, head of hair to develop many small branches or hairs",,General,,,,
a bushel and a peck and some in a gourd," a great deal or amountUsually used to answer the question, “How much do you love me”",Mary: How much do you love me Tom: A bushel and a peck and some in a gourd.  We knew that Grandpa loved us a bushel and a peck.,General,,,,
business as usual,having things go along as usual.,"Even right after the f lood, it was business as usual in all the stores.  Please, everyone, business as usual. Let’s get back to work.",General,,,,
Business before pleasure., You should finish your work before starting to relax and enjoy yourself.,"Alan: Hi, Ted. Shall we get something to drink Ted: Business before pleasure, Alan. Do you have the reports I asked you to bring  I’d love to go water-skiing with you now, but I have a few things to do in the office first. Business before pleasure, I’m afraid.",General,,,,
the business end of something,the part or end of something that actually does the work or carries out the procedure.,Keep away from the business end of the electric drill so you won’t get hurt.  Don’t point the business end of that gun at anyone. It might go off.,General,,,,
a busman’s holiday,leisure time spent doing something similar to what one does at workAlludes to a bus driver going on a bus tour for his vacation or on a day off.,Tutoring students in the evening is a busman’s holiday for our English teacher.  It’s a bit of a busman’s holiday to ask her to be wardrobe mistress for our amateur production in the summer. She’s a professional dressmaker.,General,,,,
bust a bronco,to ride and thus tame a wild horse so that it can be riddenBust is a nonstandard form of burst.,"In them days, I made my living busting broncos. _That was the meanest bronco I ever seen. Nobody could bust ’im.",General,,,,
bust a gut to do something, to work very hard,"I don’t intend to bust a gut to get there on time. _I busted a gut to get there the last time, and I was the first one there.",Figurative,,,,
bust a move, to leave a place,Let’s bust a move. Lots to do tomorrow.,General,,,,
bust ass out of some place, to get out of some place in a hurryPotentially offensiveUse only with discretion.,I had to bust ass out of the house and run all the way to school.  Bob busted ass out of the classroom and headed for home.,General,,,,
bust out laughing, to start laughing suddenly,"The bridegroom was so nervous, it was all he could do not to bust out laughing.",Figurative,,,,
bust out of some place," to break out of some place, especially a prisonBust is a nonstandard form of burst meaning ‘break’ here.",Somehow the gangsters busted out of prison and left the country.  They busted out together.,General,,,,
bust some suds,  to drink some beerBust is a nonstandard form of burstSee also crack some suds.,Let’s go out and bust some suds.  I’m tired of busting suds. Let’s play cards. 2. Sl. to wash dishes. Bust is a nonstandard form of burst.  I don’t want to spend the rest of my life busting suds. _You get into that kitchen and bust some suds to earn your allowance.,General,,,,
bust someone one, to punch someone,"You better shut up, or I’ll bust you one!  You want me to bust you one I will if you do that again.",General,,,,
bust someone up†,  to cause lovers to separate,Mary busted Terri and John up.  Mary busted up Terri and John. 2. Sl. to beat someone up; to batter someone. Bust is a nonstandard form of burst meaning ‘hit’ here.  You want me to bust you up  Max busted up Lefty pretty badly.,General,,,,
bust someone wide open, to beat someone severelyAn exaggerationBust is a nonstandard form of burst,Jim threatened to bust Bill wide open.,General,,,,
bust something up†, Infto break or ruin something,Who busted this plate up  Don’t bust up the plates! Be careful! 2. Sl. to ruin a marriage by coming between the married people. _He busted their marriage up by starting rumors about Maggie.  He busted up their marriage.,General,,,,
bust up,  for lovers to separate or break upBust is a nonstandard form of burst meaning ‘break’ here.,Tom and Alice busted up for good.  They busted up last week. 2. Sl. for something to break up due to natural causes. Bust is a nonstandard form of burst meaning ‘break apart’ here. _The rocket busted up in midair.  I saw it bust up.,General,,,,
bustle about doing something,to go about doing something busily and energetically,"Lily bustled about, getting dinner ready.",General,,,,
bustle about some place,"to move about some place very busily, or as if busy.","They were all bustling about the kitchen, getting the feast ready.  Veronica was bustling about outside, cleaning up the yard.",General,,,,
bustle around,to move about very busily.,"The people were bustling around, trying to get things ready for the picnic.  I wish you would stop bustling around.",General,,,,
bustle off,to leave in haste.,"Well, I have to bustle off or I’ll miss my f light.  I hate to bustle off so soon.",General,,,,
bustle someone off†,to help someone leave,The cops bustled the crook off.  They bustled off the three men who were fighting.,General,,,,
busy as a hibernating bear,not busy at all~.,"Tom: I can’t go with you. I’m busy. Jane: Yeah. You’re as busy as a hibernating bear.  He lounged on the sofa all day, busy as a hibernating bear.",General,,,,
busy oneself with someone or something,to occupy one’s time by dealing with someone or something,Mrs. Wilson busied herself with little Jimmy.,General,,,,
busy someone with someone or something,to keep someone busy dealing with someone or something.,You should busy the children with some activity. _We will busy Randy with cleaning up the garage.,General,,,,
but for someone or something,if it were not for someone or something.,"But for the railing, I’d have fallen down the stairs.  But for the children, Mrs. Smith would have left her husband years ago.",General,,,,
but good,severely,Joe beat up Bill but good.,General,,,,
butt in on someone or something,to interrupt someone or something.,"Pardon me for butting in on your conversation, but this is important.  John butted in on Tom and Jane to tell them that the mail had come.",General,,,,
butt into something,to intrude upon something,Please don’t butt into my conversation; I’m on the phone. _I don’t like my conversations being butted into by perfect strangers!,General,,,,
the butt of a joke,"the reason for or aim of a joke, especially when it is a person",,General,,,,
butt out,to exit as abruptly as one has intrudedCompare this with butt in on someone or somethingUsually a command.,Butt out! Leave me alone!  Please butt out of my life!,General,,,,
butt up against someone or something,to press against someone or something firmly.,"This board is supposed to butt up against the one over there.  The goat butted against Fred, but didn’t hurt him.",General,,,,
